panel,row,rung,cell,voice,brow,brow_ci_lo,brow_ci_hi,s_t,s_t_ci_lo,s_t_ci_hi,slope,slope_ci_lo,slope_ci_hi,n_cells,n_items
b,item,g060,jp_jvnvF2_reg1_sad,ja,-0.02423326,,,0.00396015,,,,,,,
b,item,g150,jp_jvnvF2_reg1_sad,ja,0.04545913,,,-0.07737550,,,,,,,
b,item,lvl+6,jp_jvnvF2_reg1_sad,ja,0.07075769,,,-0.08073934,,,,,,,
b,item,less,jp_jvnvF2_reg1_sad,ja,-0.08789730,,,0.00200433,,,,,,,
b,item,more,jp_jvnvF2_reg1_sad,ja,-0.05221963,,,0.00193560,,,,,,,
b,item,r+2,jp_jvnvF2_reg1_sad,ja,-0.10618974,,,0.01506193,,,,,,,
b,item,r+4,jp_jvnvF2_reg1_sad,ja,-0.03853844,,,0.01727599,,,,,,,
b,item,rate090,jp_jvnvF2_reg1_sad,ja,0.00836517,,,0.00234232,,,,,,,
b,item,effort0,jp_jvnvF2_reg1_sad,ja,-0.14333253,,,0.01663187,,,,,,,
b,item,effort,jp_jvnvF2_reg1_sad,ja,-0.14599580,,,0.01661357,,,,,,,
b,item,src,jp_jvnvF2_reg1_hap,ja,0.01655508,,,0.00082711,,,,,,,
b,item,tgt100,jp_jvnvF2_reg1_hap,ja,-0.02747360,,,-0.00044481,,,,,,,
b,item,k050,jp_jvnvF2_reg1_hap,ja,-0.01495620,,,0.00888919,,,,,,,
b,item,k075,jp_jvnvF2_reg1_hap,ja,-0.11168192,,,0.00403796,,,,,,,
b,item,k133,jp_jvnvF2_reg1_hap,ja,0.06776757,,,-0.00722156,,,,,,,
b,item,k167,jp_jvnvF2_reg1_hap,ja,0.08972212,,,-0.00811047,,,,,,,
b,item,g060,jp_jvnvF2_reg1_hap,ja,-0.02246456,,,0.00837422,,,,,,,
b,item,g150,jp_jvnvF2_reg1_hap,ja,-0.04480434,,,-0.00465109,,,,,,,
b,item,lvl+6,jp_jvnvF2_reg1_hap,ja,0.00034065,,,0.00006561,,,,,,,
b,item,less,jp_jvnvF2_reg1_hap,ja,-0.15850875,,,0.01253338,,,,,,,
b,item,more,jp_jvnvF2_reg1_hap,ja,-0.01771170,,,-0.01068433,,,,,,,
b,item,r+2,jp_jvnvF2_reg1_hap,ja,-0.09637663,,,-0.00562386,,,,,,,
b,item,r+4,jp_jvnvF2_reg1_hap,ja,-0.06041924,,,0.01711615,,,,,,,
b,item,rate090,jp_jvnvF2_reg1_hap,ja,-0.11107785,,,0.00260472,,,,,,,
b,item,effort0,jp_jvnvF2_reg1_hap,ja,-0.11694331,,,0.01354619,,,,,,,
b,item,effort,jp_jvnvF2_reg1_hap,ja,-0.11571853,,,0.01364149,,,,,,,
b,item,src,jp_jvnvF2_reg1_sur,ja,-0.00625136,,,0.00338969,,,,,,,
b,item,tgt100,jp_jvnvF2_reg1_sur,ja,-0.03834611,,,0.00280205,,,,,,,
b,item,k050,jp_jvnvF2_reg1_sur,ja,-0.15437896,,,0.00686396,,,,,,,
b,item,k075,jp_jvnvF2_reg1_sur,ja,-0.06645967,,,0.00536326,,,,,,,
b,item,k133,jp_jvnvF2_reg1_sur,ja,-0.05162941,,,-0.00081293,,,,,,,
b,item,k167,jp_jvnvF2_reg1_sur,ja,-0.01674213,,,0.00209532,,,,,,,
b,item,g060,jp_jvnvF2_reg1_sur,ja,0.17514433,,,-0.00476794,,,,,,,
b,item,g150,jp_jvnvF2_reg1_sur,ja,0.00381347,,,-0.00141980,,,,,,,
b,item,lvl+6,jp_jvnvF2_reg1_sur,ja,0.00603917,,,-0.00080921,,,,,,,
b,item,less,jp_jvnvF2_reg1_sur,ja,0.03235889,,,0.00250903,,,,,,,
b,item,more,jp_jvnvF2_reg1_sur,ja,-0.11731582,,,0.00075095,,,,,,,
b,item,r+2,jp_jvnvF2_reg1_sur,ja,-0.12206480,,,0.00886387,,,,,,,
b,item,r+4,jp_jvnvF2_reg1_sur,ja,-0.24494695,,,0.01646346,,,,,,,
b,item,rate090,jp_jvnvF2_reg1_sur,ja,-0.19455535,,,0.00776109,,,,,,,
b,item,effort0,jp_jvnvF2_reg1_sur,ja,-0.15602556,,,0.02484227,,,,,,,
b,item,effort,jp_jvnvF2_reg1_sur,ja,-0.14961628,,,0.02428888,,,,,,,
b,within-cell slope,all 17 steps,,,,,,,,,-1.52423307,-3.09545436,-0.54756811,12,204
