id,cell,lang,label,rung,family,role,verdict,rate_warp,source,channel,arm,fps,n_frames,m.dur_s,m.amp,m.vel_rms,m.vel_rms_excess,m.noise_sigma,m.thr_used,m.n_events,m.event_rate,m.prom_median,m.prom_max,m.max_over_median,m.gini,m.cv,m.mean_in_span,fplan.n_f0_peaks,fplan.n_events,fplan.recall,fplan.precision,fplan.events_per_f0,fplan.recall_chance,fplan.recall_excess,fplan.precision_chance,fplan.precision_excess,fplan.hits,fpost.n_f0_peaks,fpost.n_events,fpost.recall,fpost.precision,fpost.events_per_f0,fpost.recall_chance,fpost.recall_excess,fpost.precision_chance,fpost.precision_excess,fpost.hits,coup.r_phrase,coup.lag_phrase,coup.r_tone,coup.lag_tone,coup.r_phrase_rev,coup.r_tone_rev,coup.tone_band_frac,accent_resp_median,fplan.recall_chance_cross,fplan.recall_excess_cross,x.k_praat,x.k_pyin,x.g_ip,x.reg_praat,x.reg_pyin,x.d_rms_speech_db
en_rav02_take1_ang__rate090,en_rav02_take1_ang,en,ang,rate090,rate,rung,ok,0.9,emote,jaw,noise,25,98,1.84,0.304125,0.787774,0.772253,0.0165892,0.073159,3,1.63043,0.190782,0.277296,1.45347,0.198783,0.365195,1.22775,3,3,0.666667,0.666667,1,0.846667,-0.18,0.926667,-0.26,2,3,3,0,0,1,0.478333,-0.478333,0.478333,-0.478333,0,,,,,,,,,0.833333,-0.166667,0.985,1.051,1.05,0.047,0,-0
en_rav02_take1_ang__rate090,en_rav02_take1_ang,en,ang,rate090,rate,rung,ok,0.9,medtalk,brow_inner,clean,60,234,1.81667,0.0679387,0.266302,0.262396,0.0074982,0.0366537,3,1.65138,0.0464268,0.0576304,1.24132,0.0948579,0.174633,0.126801,3,3,0.666667,0.666667,1,0.796667,-0.13,0.895,-0.228333,2,3,3,0.666667,0.666667,1,0.461667,0.205,0.461667,0.205,2,-0.0483656,0.383333,0.306028,-0.133333,0.152989,0.272241,0.506366,0.0631973,0.5,0.166667,0.985,1.051,1.05,0.047,0,-0
en_rav02_take1_ang__rate090,en_rav02_take1_ang,en,ang,rate090,rate,rung,ok,0.9,medtalk,brow_inner,noise,60,234,1.81667,0.0711614,0.269696,0.264661,0.00855884,0.0391222,2,1.10092,0.0537209,0.0565088,1.0519,,,0.126974,3,2,0.333333,0.5,0.666667,0.585,-0.251667,0.895,-0.395,1,3,2,0.333333,0.5,0.666667,0.303333,0.03,0.455,0.045,1,,,,,,,,,0.5,-0.166667,0.985,1.051,1.05,0.047,0,-0
en_rav02_take1_ang__rate090,en_rav02_take1_ang,en,ang,rate090,rate,rung,ok,0.9,medtalk,brow_outer,clean,60,234,1.81667,0.0548082,0.142327,0.13989,0.00432694,0.0273365,2,1.10092,0.0363674,0.0403605,1.1098,,,0.0845357,3,2,0.666667,1,0.666667,0.61,0.0566667,0.915,0.085,2,3,2,0.333333,0.5,0.666667,0.343333,-0.01,0.515,-0.015,1,0.596506,-0.0166667,0.341642,0.05,0.870013,0.276037,0.396158,0.0323744,0.5,0.166667,0.985,1.051,1.05,0.047,0,-0
en_rav02_take1_ang__rate090,en_rav02_take1_ang,en,ang,rate090,rate,rung,ok,0.9,medtalk,brow_outer,noise,60,234,1.81667,0.0563956,0.14191,0.136888,0.00617445,0.0288394,2,1.10092,0.0353704,0.0394708,1.11593,,,0.0844513,3,2,0.666667,1,0.666667,0.61,0.0566667,0.915,0.085,2,3,2,0.333333,0.5,0.666667,0.343333,-0.01,0.515,-0.015,1,,,,,,,,,0.5,0.166667,0.985,1.051,1.05,0.047,0,-0
en_rav02_take1_ang__rate090,en_rav02_take1_ang,en,ang,rate090,rate,rung,ok,0.9,medtalk,lid_upper,clean,60,234,1.81667,0.0334744,0.0922466,0.0916717,0.00169671,0.0104121,3,1.65138,0.0155369,0.0192475,1.23882,0.0861206,0.159271,-0.00382973,3,3,1,1,1,0.79,0.21,0.901667,0.0983333,3,3,3,0.666667,0.666667,1,0.513333,0.153333,0.513333,0.153333,2,0.200443,-0.2,0.323615,0.166667,0.316454,0.268872,0.245211,0.0155369,0.5,0.5,0.985,1.051,1.05,0.047,0,-0
en_rav02_take1_ang__rate090,en_rav02_take1_ang,en,ang,rate090,rate,rung,ok,0.9,medtalk,lid_upper,noise,60,234,1.81667,0.0336279,0.0919595,0.0911974,0.00194946,0.0101982,3,1.65138,0.0155666,0.0191121,1.22776,0.0762671,0.141984,-0.00377002,3,3,1,1,1,0.803333,0.196667,0.903333,0.0966667,3,3,3,0.666667,0.666667,1,0.521667,0.145,0.521667,0.145,2,,,,,,,,,0.5,0.5,0.985,1.051,1.05,0.047,0,-0
en_rav02_take1_ang__rate090,en_rav02_take1_ang,en,ang,rate090,rate,rung,ok,0.9,medtalk,jaw,clean,60,234,1.81667,0.230094,0.696606,0.695132,0.00747456,0.0370971,4,2.20183,0.0973391,0.248388,2.55178,0.367988,0.687042,0.157358,3,4,1,1,1.33333,0.983333,0.0166667,0.9025,0.0975,3,3,4,0.666667,0.5,1.33333,0.666667,1.11022e-16,0.5,0,2,0.499771,-0.2,0.37443,0,0.788781,0.204239,0.252763,0.122381,1,0,0.985,1.051,1.05,0.047,0,-0
en_rav02_take1_ang__rate090,en_rav02_take1_ang,en,ang,rate090,rate,rung,ok,0.9,medtalk,jaw,noise,60,234,1.81667,0.231073,0.700018,0.69659,0.0114169,0.0472857,3,1.65138,0.13937,0.246561,1.76911,0.281788,0.519386,0.156802,3,3,1,1,1,0.863333,0.136667,0.906667,0.0933333,3,3,3,0.333333,0.333333,1,0.52,-0.186667,0.52,-0.186667,1,,,,,,,,,1,0,0.985,1.051,1.05,0.047,0,-0
en_rav02_take1_ang__rate090,en_rav02_take1_ang,en,ang,rate090,rate,rung,ok,0.9,medtalk,brow_inner_net,clean,60,234,1.81667,0.159565,0.579639,0.576686,0.00964145,0.0468255,3,1.65138,0.110455,0.125023,1.1319,0.088505,0.165184,-0.287968,3,3,0.666667,0.666667,1,0.861667,-0.195,0.896667,-0.23,2,3,3,0.666667,0.666667,1,0.461667,0.205,0.461667,0.205,2,,,,,,,,,0.166667,0.5,0.985,1.051,1.05,0.047,0,-0
en_rav02_take1_ang__rate090,en_rav02_take1_ang,en,ang,rate090,rate,rung,ok,0.9,medtalk,brow_inner_net,noise,60,234,1.81667,0.156983,0.574817,0.570482,0.0116266,0.0498992,3,1.65138,0.110395,0.121949,1.10466,0.0754551,0.141558,-0.287511,3,3,0.666667,0.666667,1,0.861667,-0.195,0.893333,-0.226667,2,3,3,0.666667,0.666667,1,0.456667,0.21,0.456667,0.21,2,,,,,,,,,0.166667,0.5,0.985,1.051,1.05,0.047,0,-0
en_rav02_take1_ang__rate090,en_rav02_take1_ang,en,ang,rate090,rate,rung,ok,0.9,medtalk,brow_outer_net,clean,60,234,1.81667,0.106645,0.36228,0.359861,0.00689628,0.0357043,2,1.10092,0.0831751,0.0941789,1.1323,,,-0.330233,3,2,0.666667,1,0.666667,0.58,0.0866667,0.9,0.1,2,3,2,0.666667,1,0.666667,0.321667,0.345,0.4825,0.5175,2,,,,,,,,,0.333333,0.333333,0.985,1.051,1.05,0.047,0,-0
en_rav02_take1_ang__rate090,en_rav02_take1_ang,en,ang,rate090,rate,rung,ok,0.9,medtalk,brow_outer_net,noise,60,234,1.81667,0.102924,0.363284,0.359827,0.00824862,0.0423602,2,1.10092,0.0837605,0.0924381,1.1036,,,-0.330436,3,2,0.666667,1,0.666667,0.58,0.0866667,0.9,0.1,2,3,2,0.666667,1,0.666667,0.321667,0.345,0.4825,0.5175,2,,,,,,,,,0.166667,0.5,0.985,1.051,1.05,0.047,0,-0
en_rav02_take1_ang__rate090,en_rav02_take1_ang,en,ang,rate090,rate,rung,ok,0.9,f0_follower,brow_inner,clean,60,234,1.81667,4.98082,13.6699,13.6695,0.0163686,0.545342,2,1.10092,4.59797,4.62953,1.00687,,,1.75573,3,2,0.666667,1,0.666667,0.596667,0.07,0.895,0.105,2,3,2,0.666667,1,0.666667,0.338333,0.328333,0.5075,0.4925,2,0.848405,0,0.286515,0,0.631148,0.329703,0.0331124,4.5664,0.166667,0.5,0.985,1.051,1.05,0.047,0,-0
