source,arm,channel,window,unit,recall,recall_lo,recall_hi,recall_p05,recall_p95,exc_circ,exc_circ_lo,exc_circ_hi,exc_circ_p05,exc_circ_p95,exc_cross,exc_cross_lo,exc_cross_hi,exc_cross_p05,exc_cross_p95,events_per_f0,events_per_f0_lo,events_per_f0_hi,events_per_f0_p05,events_per_f0_p95,event_rate,event_rate_lo,event_rate_hi,event_rate_p05,event_rate_p95,n,n_clusters,scope,prec_exc,prec_exc_lo,prec_exc_hi,coup_minus_rev,coup_minus_rev_lo,coup_minus_rev_hi
emotalk,noise,brow_inner,plan,all_nonrate_rungs item (cell bootstrap),0.59858,0.40675,0.77917,,,-0.0095065,-0.10288,0.091627,,,-0.097274,-0.36221,0.14213,,,1.2921,0.82021,1.8443,,,1.3293,0.97065,1.6579,,,168,12,all_nonrate_rungs,-0.038358,-0.15678,0.067914,,,
emotalk,noise,brow_inner,post,all_nonrate_rungs item (cell bootstrap),0.25329,0.14683,0.35627,,,-0.12709,-0.22557,-0.031106,,,,,,,,1.2921,0.82021,1.8443,,,1.3293,0.97065,1.6579,,,168,12,all_nonrate_rungs,-0.087244,-0.18467,0.020032,,,
emotalk,noise,brow_outer,plan,c100 item (cell bootstrap),0.58254,0.35831,0.79206,,,0.0049702,-0.10539,0.11553,,,-0.082242,-0.33526,0.15822,,,1.2806,0.75,1.8947,,,1.281,0.83255,1.6977,,,12,12,c100,-0.014793,-0.13139,0.098848,,,
emotalk,noise,brow_outer,post,c100 item (cell bootstrap),0.21151,0.080952,0.34052,,,-0.15597,-0.27095,-0.045207,,,,,,,,1.2806,0.75,1.8947,,,1.281,0.83255,1.6977,,,12,12,c100,-0.12774,-0.24111,-0.031137,,,
emotalk,noise,brow_outer,plan,all_nonrate_rungs item (cell bootstrap),0.61389,0.42557,0.79051,,,0.033226,-0.042956,0.10934,,,-0.052688,-0.28456,0.16173,,,1.3269,0.78369,1.9487,,,1.2997,0.88178,1.7015,,,168,12,all_nonrate_rungs,0.02774,-0.044776,0.11266,,,
emotalk,noise,brow_outer,post,all_nonrate_rungs item (cell bootstrap),0.26392,0.14443,0.37744,,,-0.1085,-0.23264,0.0019371,,,,,,,,1.3269,0.78369,1.9487,,,1.2997,0.88178,1.7015,,,168,12,all_nonrate_rungs,-0.086839,-0.17311,-0.015562,,,
emote,clean,brow_inner,plan,c100 item (cell bootstrap),0.50079,0.29994,0.71111,,,0.0030893,-0.075755,0.0793,,,-0.031548,-0.30517,0.22415,,,1.0758,0.56746,1.7168,,,1.1657,0.73195,1.6129,,,12,12,c100,-0.030468,-0.12675,0.063335,-0.027713,-0.10834,0.051691
emote,clean,brow_inner,post,c100 item (cell bootstrap),0.35357,0.19246,0.53333,,,0.021264,-0.06337,0.10163,,,,,,,,1.0758,0.56746,1.7168,,,1.1657,0.73195,1.6129,,,12,12,c100,0.019256,-0.14552,0.18927,-0.027713,-0.10834,0.051691
emote,clean,brow_inner,plan,all_nonrate_rungs item (cell bootstrap),0.49725,0.31671,0.68077,,,-0.0044861,-0.081535,0.067807,,,-0.030867,-0.25772,0.1788,,,1.0699,0.59883,1.6863,,,1.1579,0.75806,1.5559,,,168,12,all_nonrate_rungs,-0.032042,-0.11818,0.05209,-0.031389,-0.091924,0.026931
emote,clean,brow_inner,post,all_nonrate_rungs item (cell bootstrap),0.35215,0.20129,0.523,,,0.022127,-0.056594,0.10049,,,,,,,,1.0699,0.59883,1.6863,,,1.1579,0.75806,1.5559,,,168,12,all_nonrate_rungs,0.012173,-0.13636,0.15473,-0.031389,-0.091924,0.026931
